ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2023-05-21,23,21744,517,Employed,High School,5,16245,60,Single,3,Mortgage,591,0.515,13,1,0.326,0,Auto,1,2,3,13728,607,90510,8989,1812,0.684,4,81521,0.0528,0.1198,361.2,0.525,0,0.06
2024-09-11,62,44473,535,Employed,Associate,40,7736,120,Married,2,Mortgage,466,0.199,2,3,0.126,0,Debt Consolidation,0,6,17,11212,5787,200275,4036,3706,0.725,23,196239,0.0395,0.092,98.84,0.152,0,0.54
2024-01-19,55,22602,710,Self-Employed,High School,36,11955,48,Married,3,Rent,284,0.38,11,4,0.151,0,Auto,0,45,19,17656,1875,107295,19870,1883,0.725,22,87425,0.0335,0.0436,271.86,0.295,1,93.37
2024-08-19,43,150357,653,Employed,Associate,21,198837,48,Divorced,0,Mortgage,1380,0.272,0,1,0.11,0,Auto,0,46,18,91878,1563,430089,383468,12529,0.719,16,46621,0.0385,0.0608,4676.99,0.483,1,88.65
2023-03-26,43,60249,577,Employed,Doctorate,22,22336,48,Married,3,Rent,1244,0.782,4,2,0.248,0,Auto,0,44,23,21398,5828,97361,10341,5020,0.627,22,87020,0.0417,0.0898,555.62,0.358,0,0.84
2024-06-05,67,57694,631,Employed,Bachelor,48,83413,48,Single,2,Own,259,0.172,4,2,0.054,0,Debt Consolidation,0,2,26,5809,14133,217518,120580,4807,0.709,4,96938,0.0305,0.0554,1941.41,0.458,0,35.67
2024-04-03,22,60842,816,Employed,Associate,2,67174,36,Single,3,Rent,1760,0.37,1,4,0.347,0,Education,0,25,2,30731,3172,250799,106822,5070,0.854,2,143977,0.0389,0.0562,2032.02,0.748,1,96.36
2023-12-11,58,73295,775,Employed,Associate,40,128349,72,Divorced,5,Rent,2233,0.374,5,1,0.366,0,Education,0,24,13,38945,6031,256423,106893,6107,0.837,12,149530,0.0323,0.0506,2070.63,0.705,1,74.62
2024-01-10,29,88351,650,Self-Employed,High School,7,54936,24,Single,5,Mortgage,3078,0.144,9,2,0.418,1,Debt Consolidation,0,10,8,31211,25170,256625,103938,7362,0.894,7,152687,0.0548,0.0932,2517.81,0.76,0,16.32
2024-02-16,23,24790,733,Employed,High School,4,48408,120,Married,2,Rent,732,0.091,0,4,0.354,0,Home,0,39,2,15791,4488,95469,78465,2065,0.744,1,17004,0.0337,0.0514,516.76,0.604,0,48.01
2024-06-10,48,104306,670,Employed,High School,28,121872,48,Married,0,Rent,1560,0.582,14,1,0.179,0,Home,0,35,23,28912,28872,404037,122848,8692,0.671,17,281189,0.0447,0.0662,2896.94,0.513,1,95.58
2024-09-19,74,101003,500,Employed,Associate,56,10142,36,Single,3,Mortgage,3319,0.211,1,2,0.394,0,Home,0,14,47,19467,669,478305,6974,8416,0.643,7,471331,0.0321,0.1068,330.5,0.434,0,1.17
2023-12-24,60,52408,484,Employed,Associate,40,44435,60,Single,5,Mortgage,1499,0.088,0,0,0.343,0,Debt Consolidation,0,38,17,24532,5427,196377,25096,4367,0.751,0,171281,0.0376,0.1138,974.57,0.566,0,0.76
2024-03-30,62,51053,578,Self-Employed,Associate,42,56671,120,Married,0,Rent,1227,0.114,11,1,0.288,0,Debt Consolidation,0,34,25,2471,477,102850,72913,4254,0.85,10,29937,0.0328,0.0827,695.69,0.452,0,2.51
2023-07-12,59,11482,518,Employed,High School,40,14035,36,Married,1,Own,422,0.098,1,1,0.441,0,Debt Consolidation,0,43,22,6192,853,34391,12450,956,0.751,6,21941,0.0505,0.123,468.18,0.93,0,0.35
