Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalLiabilities,JobTenure,NetWorth,LoanApproved,LoanToIncomeRatio,SavingsToLoanRatio
23,21744,517,0,3,16245,60,591,0.515,0.326,0,0,1,2,3,13728,607,8989,4,81521,0,0.7470682915612784,0.8450080019697156
62,44473,535,0,0,7736,120,466,0.199,0.126,0,1,0,6,17,11212,5787,4036,23,196239,0,0.17394432702253002,1.4491404937314205
55,22602,710,1,3,11955,48,284,0.38,0.151,0,0,0,45,19,17656,1875,19870,22,87425,1,0.5289120913153121,1.4767480762796923
43,150357,653,0,0,198837,48,1380,0.272,0.11,0,0,0,46,18,91878,1563,383468,16,46621,1,1.3224238151611487,0.46207465373821904
43,60249,577,0,2,22336,48,1244,0.782,0.248,0,0,0,44,23,21398,5828,10341,22,87020,0,0.3707219917012448,0.9579621256211667
67,57694,631,0,1,83413,48,259,0.172,0.054,0,1,0,2,26,5809,14133,120580,4,96938,0,1.4457578646329838,0.06964058791090225
22,60842,816,0,0,67174,36,1760,0.37,0.347,0,2,0,25,2,30731,3172,106822,2,143977,1,1.104054698157553,0.45747673985857834
58,73295,775,0,0,128349,72,2233,0.374,0.366,0,2,0,24,13,38945,6031,106893,12,149530,1,1.7511051080550097,0.30342812621737436
29,88351,650,1,3,54936,24,3078,0.144,0.418,1,1,0,10,8,31211,25170,103938,7,152687,0,0.6217855849329953,0.56812348690318
23,24790,733,0,3,48408,120,732,0.091,0.354,0,3,0,39,2,15791,4488,78465,1,17004,0,1.9526441047154208,0.32619967361441055
48,104306,670,0,3,121872,48,1560,0.582,0.179,0,3,0,35,23,28912,28872,122848,17,281189,1,1.168397135379217,0.2372305596809794
74,101003,500,0,0,10142,36,3319,0.211,0.394,0,3,0,14,47,19467,669,6974,7,471331,0,0.10041186487663854,1.9192546583850931
60,52408,484,0,0,44435,60,1499,0.088,0.343,0,1,0,38,17,24532,5427,25096,0,171281,0,0.8478505600183175,0.5520748942299036
62,51053,578,1,0,56671,120,1227,0.114,0.288,0,1,0,34,25,2471,477,72913,10,29937,0,1.110020762330082,0.04360177865612648
59,11482,518,0,3,14035,36,422,0.098,0.441,0,1,0,43,22,6192,853,12450,6,21941,0,1.222241574501437,0.44115132516386435
63,29085,684,0,0,8950,36,328,0.158,0.135,0,0,0,2,28,22091,665,10934,3,141801,1,0.3077081757546586,2.4679924030834544
47,70222,610,1,0,16633,12,351,0.151,0.06,0,3,0,30,9,6535,1219,25717,24,206928,1,0.2368597183259046,0.392870025249489
25,98746,698,0,3,103645,60,1873,0.098,0.228,0,4,0,12,2,16432,1552,33777,5,475981,1,1.0496015068812217,0.15853964455936553
66,77996,699,0,3,31064,72,818,0.298,0.126,0,0,0,26,34,70060,3379,59650,8,318462,1,0.39827172839981023,2.255271205536778
44,52163,722,0,4,28353,60,546,0.426,0.126,0,1,0,14,16,31163,9926,46011,17,53183,1,0.5435357717966414,1.0990689144388799
47,141908,576,2,3,293151,84,931,0.32,0.079,0,3,0,0,27,9872,32816,550667,8,-362673,0,2.065767498890134,0.033675362951642834
39,89553,706,1,0,84455,36,1035,0.219,0.139,0,0,0,12,10,40230,3109,141505,0,337929,1,0.9430622864417,0.47634271099744246
28,44492,574,1,3,54271,120,1152,0.244,0.311,0,1,0,9,6,17996,7831,89259,10,37042,0,1.2197649068392782,0.33158903301886794
71,161305,724,0,3,208025,72,3430,0.188,0.255,0,0,1,39,18,19510,24346,204167,1,103905,1,1.2896296479982146,0.09378635362887332
63,31317,770,0,4,37116,36,369,0.454,0.141,0,4,0,13,36,114,7533,60484,13,59100,1,1.1851331502650233,0.0030713689145135652
55,25953,725,2,4,56026,84,1183,0.058,0.547,0,1,0,16,34,13156,5867,44275,2,29596,0,2.158665330970178,0.23481535688150357
41,43890,644,2,0,47641,48,1054,0.061,0.288,0,2,0,6,17,21814,3630,30222,4,36239,0,1.085438928254084,0.4578733050669577
65,37074,711,0,3,33888,60,1127,0.273,0.365,0,1,0,25,18,31678,6297,52186,21,76731,1,0.9140391099123398,0.9347575909587181
49,45140,522,0,1,32162,72,1012,0.103,0.269,0,0,0,44,21,19776,13249,36804,3,54342,0,0.7124786779202942,0.6148680160432796
43,80744,501,0,3,129815,84,795,0.345,0.118,1,2,0,40,23,28628,20919,152755,14,147721,0,1.6077156480277417,0.22052751586861405
44,53263,702,0,1,48651,84,1841,0.096,0.415,1,2,0,38,16,24309,11869,48069,14,15052,0,0.9133936617602884,0.4996505796267368
31,53952,777,0,1,97934,48,554,0.216,0.123,0,3,0,47,4,20644,2971,170556,13,88818,1,1.815172464923174,0.2107928728238117
23,55793,549,0,4,29713,72,467,0.127,0.1,0,1,0,16,3,39846,10615,40909,0,273536,0,0.5325483026848765,1.3409840479235378
50,17048,661,0,0,2631,36,89,0.101,0.063,0,0,0,33,24,6642,4010,4077,24,85062,1,0.1543199014604962,2.5235562310030395
69,25396,699,0,0,44378,48,671,0.323,0.317,0,2,0,34,19,13675,6665,20778,24,12742,1,1.7473717368193094,0.3081412379729151
21,44682,604,0,0,5011,120,2036,0.371,0.547,0,3,0,46,0,26567,1395,6867,0,212501,0,0.11214555871360472,5.300678371907422
67,35544,629,0,1,61907,84,1105,0.455,0.373,0,0,0,3,33,31853,5424,106581,18,-17310,0,1.7416514277676185,0.5145215481036377
66,48247,715,1,2,80500,48,284,0.321,0.071,0,2,0,7,28,11079,13346,145666,22,-91683,1,1.6684629414690764,0.13762561955752103
34,109323,669,0,0,178750,12,4478,0.133,0.492,0,3,0,34,6,6557,11923,238944,10,118297,1,1.6350481138633786,0.03668231226678452
54,52196,670,2,0,37582,120,663,0.133,0.152,0,1,0,1,29,20457,8449,74762,9,-16530,1,0.7200030653102669,0.5443152489157331
27,27970,571,0,1,29589,60,1051,0.239,0.451,0,3,0,3,8,16421,6221,12195,5,123969,0,1.0578456258267492,0.5549509969584319
61,36441,657,0,0,52457,48,532,0.256,0.175,1,1,0,42,18,11606,10508,98829,10,75585,0,1.4394654519510455,0.2212436615959434
58,127425,624,0,3,53541,120,5057,0.25,0.476,0,0,1,39,22,47888,30111,103977,20,213081,0,0.42017327703922275,0.8944006574278137
38,116569,629,2,1,195634,24,4682,0.07,0.482,0,3,0,10,17,57128,11816,388671,19,-90444,1,1.6782534099682593,0.29201318782426455
21,72979,611,0,1,90174,24,2116,0.806,0.348,1,1,0,31,1,44552,2161,56391,0,64629,0,1.2355987941901891,0.4940615469919601
74,24803,657,0,0,20601,60,732,0.481,0.354,0,1,0,14,50,9635,3843,26953,20,51127,0,0.8305515239477503,0.46767304145228616
43,63158,581,0,4,20535,48,893,0.26,0.17,0,2,1,6,11,11060,11755,7322,8,238167,0,0.3251318101933216,0.5385664199454616
69,65633,661,1,1,20439,24,2122,0.217,0.388,0,1,0,28,50,45448,13359,14305,2,311900,0,0.31140872108967915,2.2234833659491193
57,54872,627,0,1,30625,48,1686,0.296,0.369,0,1,0,43,30,27786,2397,48633,10,211722,0,0.5581069013904835,0.9072683340952132
63,40741,576,0,2,89160,36,575,0.437,0.169,0,2,0,35,13,25328,11905,65284,21,57424,0,2.1884050856609885,0.2840703895200816
62,45192,484,1,1,44963,84,1501,0.678,0.399,1,3,1,30,19,14256,8619,58098,14,150387,0,0.994910716261368,0.31705364291433147
29,39345,745,0,0,51685,24,1118,0.376,0.341,0,1,1,44,6,1655,3741,102618,0,-46764,1,1.3136023992273675,0.03202027628371319
39,30560,727,0,0,43027,36,136,0.346,0.053,0,1,0,37,12,16082,7608,81056,2,91513,1,1.407905500474461,0.37375662359393885
45,107258,587,0,3,150078,72,3864,0.189,0.432,0,2,0,46,21,61279,20928,273008,8,-133145,0,1.3992112549995805,0.4083116225454594
46,84217,721,0,1,97153,36,2162,0.18,0.308,0,0,0,48,21,34978,1097,157393,8,160409,1,1.1535894939324134,0.3600263499186858
20,46982,567,0,1,77686,84,1395,0.7,0.356,0,3,1,34,0,11740,2189,84413,2,124258,0,1.6534916884830684,0.15111923487842238
49,64607,632,0,3,111174,60,2632,0.111,0.489,0,3,0,9,30,6620,14980,186465,14,124129,0,1.7207466567607728,0.05954576118731729
26,65831,612,1,4,98163,12,672,0.227,0.122,1,1,0,22,2,54656,19130,112503,3,41091,0,1.4911137440758293,0.5567825271993806
61,174807,635,1,1,89471,120,6399,0.164,0.439,0,1,0,15,27,102156,38219,109542,4,702703,1,0.511824401629216,1.1417650214592274
57,83808,718,1,3,132149,84,1306,0.223,0.187,0,2,0,35,33,7460,5541,182116,21,-94167,1,1.5767876958321898,0.056451002648505486
71,82238,623,0,0,112384,48,3684,0.028,0.538,0,0,1,15,52,43844,10103,197900,5,-1578,0,1.366553581634018,0.39012323708679986
61,55215,629,0,2,28662,24,2401,0.272,0.522,1,0,0,46,27,14156,1781,44313,22,50153,0,0.5190886699507389,0.4938771238181628
39,43598,726,0,3,63506,60,1730,0.452,0.476,0,0,0,15,13,23172,2758,88480,0,2449,0,1.4565930411247965,0.3648731635882659
74,108158,665,2,4,30302,12,4135,0.311,0.459,0,4,1,20,23,88556,7137,51485,14,233134,0,0.280161613920247,2.9223509223509225
41,75066,606,0,4,83003,24,2373,0.15,0.379,0,2,0,45,20,50866,16684,100760,10,37436,0,1.1057188911239293,0.6128138402968532
36,35783,681,1,1,38278,48,484,0.078,0.162,0,2,1,33,15,24309,5623,62517,5,24907,1,1.0696959534987704,0.6350479375114293
70,67977,749,0,1,80621,48,395,0.47,0.07,0,0,0,37,47,20189,11005,58209,3,267083,1,1.1859866427373562,0.2504155193371536
39,82346,755,0,0,146338,12,1832,0.598,0.267,0,0,0,45,6,21066,569,234897,3,59741,1,1.7770896328949446,0.14395342321595747
