Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalLiabilities,JobTenure,NetWorth,LoanToIncomeRatio,SavingsToLoanRatio
48,70260,605,0,3,114795,60,1789,0.136,0.306,1,3,0,3,12,55008,10358,131411,18,174139,1.6338366946100966,0.4791804592494512
69,70611,630,0,0,149212,120,1781,0.456,0.303,0,0,0,1,48,31023,1371,231890,24,98309,2.1131252478332296,0.207910838867927
19,87095,719,2,4,44894,12,3857,0.226,0.531,0,3,0,25,0,72675,21076,81550,0,212929,0.5154542114448425,1.6187771466755765
29,24139,499,0,3,19253,12,599,0.309,0.298,0,3,0,13,4,21676,430,30390,8,71966,0.7975559237779619,1.1257920432118
59,89464,583,0,0,137038,120,2670,0.38,0.358,0,0,0,4,24,7283,9666,72954,16,273561,1.5317498463086123,0.0531454549434832
49,16749,702,0,3,25773,84,683,0.25,0.489,0,1,0,3,20,7526,4139,48009,21,4435,1.5386865671641792,0.2919996896096842
44,44752,619,0,3,34505,72,780,0.397,0.209,0,1,0,30,12,38191,3777,40534,4,98791,0.7710097647085111,1.106793021503507
71,55823,710,2,3,97265,84,2525,0.544,0.543,0,1,0,4,39,40278,2361,150423,0,152706,1.7423509601605045,0.4141015359940781
68,30702,691,1,2,15018,24,337,0.224,0.132,0,1,0,6,39,22809,3068,17873,21,49434,0.4891378692635899,1.5186763432984889
73,45538,748,2,4,60593,60,1537,0.4,0.405,0,0,0,29,40,866,8563,29554,8,198354,1.3305737938909503,0.0142918440769713
30,65252,686,0,1,43044,24,794,0.305,0.146,0,3,0,17,4,47891,5755,20259,12,226527,0.6596478322835732,1.1125798582878383
23,59605,596,0,4,34905,36,2289,0.682,0.461,0,1,0,37,3,49745,11492,26603,0,283543,0.585595409858068,1.4251131610611356
36,53766,509,0,3,45389,48,820,0.159,0.183,0,1,0,15,16,37586,11528,72699,0,115750,0.844179515316086,0.8280678563560255
26,60977,529,0,2,70311,36,553,0.452,0.109,0,0,0,21,6,19752,10777,138654,7,69255,1.1530552002361507,0.2809193309819092
44,24219,447,0,3,42017,84,275,0.19,0.136,0,1,0,12,19,8201,5104,27216,5,41846,1.7348059454995872,0.195178256937503
59,23260,485,0,3,50013,12,501,0.343,0.258,0,0,0,47,25,4161,6541,72975,11,34973,2.150079532264305,0.0831967049226216
44,26894,578,0,3,58743,12,849,0.307,0.379,0,3,0,46,20,17579,3934,59601,10,81665,2.184160624651422,0.2992475827318535
68,74298,616,1,4,13226,24,1984,0.099,0.32,0,2,0,38,37,64505,21537,12276,12,427580,0.1780104712041884,4.87676721856808
37,20781,529,0,3,42045,24,612,0.109,0.353,0,0,1,20,13,8602,5069,32475,15,59701,2.023145029352324,0.2045854540265423
53,23337,648,2,1,22600,72,955,0.033,0.491,0,1,0,20,16,2916,1015,19681,9,20798,0.9683777530208244,0.1290208397858502
27,19858,673,0,0,21365,12,576,0.662,0.348,1,0,0,3,4,7334,2984,13044,5,20140,1.0758346341709049,0.3432556398015539
61,19732,747,0,0,30549,48,462,0.285,0.281,0,2,0,14,40,10630,2295,50533,16,43271,1.5481173668474129,0.3479541734860883
25,64049,699,0,4,44871,24,2752,0.283,0.516,1,2,0,27,4,9423,11264,64322,2,61480,0.7005620608899298,0.2099973257265109
44,59006,736,0,0,41641,12,1005,0.352,0.204,0,1,0,11,16,4419,10763,23842,13,59899,0.7056959343806667,0.1061188223428269
58,77144,695,0,3,58922,36,1629,0.266,0.253,0,3,0,34,32,12341,18889,59443,6,225184,0.7637824875234948,0.2094428321707991
42,40867,496,0,1,52418,24,403,0.046,0.118,0,1,0,25,20,35173,930,20602,18,51339,1.2826172066164236,0.6709971575192202
18,31031,672,0,0,23291,84,976,0.082,0.377,0,1,0,24,0,19856,3310,21531,0,127477,0.7505478216035061,0.8524815387257427
50,46417,544,0,3,47367,36,865,0.06,0.224,0,1,0,13,27,5925,1991,54801,14,113269,1.0204446550906976,0.1250844451950684
22,17301,566,0,0,7777,84,457,0.415,0.317,0,1,0,8,1,3738,713,10730,0,12999,0.4494856086001618,0.4805862689637439
60,32324,595,0,2,56071,12,303,0.165,0.112,0,0,0,13,35,22522,4244,99989,4,59284,1.7346017014694508,0.4016621486660008
36,80774,676,0,2,66087,36,1115,0.092,0.166,0,3,0,11,12,4298,2368,73165,7,186360,0.8181615598885794,0.0650344994552717
56,46437,588,1,1,71941,24,1170,0.177,0.302,0,3,0,26,13,38049,13617,73351,9,169666,1.5491838580472888,0.5288843790831503
24,119286,626,0,0,113339,72,2890,0.113,0.291,0,3,0,4,5,57192,29467,180672,2,249370,0.9501370643909228,0.5046056114346215
18,66477,822,0,3,68133,72,1302,0.508,0.235,0,0,0,30,0,59160,16561,42202,0,349657,1.0248954541352029,0.8682889599906067
21,51977,644,0,4,19460,120,1423,0.228,0.329,0,3,0,4,0,17866,11438,11753,3,186208,0.3743891646465812,0.918041210626381
21,43718,776,2,4,37060,84,1046,0.328,0.287,0,2,1,35,2,6620,8621,28704,3,29968,0.8476863606212401,0.178624429993794
55,55236,587,0,3,21766,60,1570,0.641,0.341,0,0,1,16,28,35146,2075,42839,8,163163,0.3940474681825588,1.6146460237974916
31,78437,540,0,1,123805,72,1455,0.278,0.223,0,0,0,41,5,27994,13489,217718,11,126776,1.5783803768581557,0.2261118201056491
62,69734,817,0,1,55079,72,856,0.303,0.147,0,0,1,7,33,46365,20051,87412,11,214759,0.7898329389832939,0.8417755991285403
37,46879,592,1,4,27016,120,1158,0.404,0.296,0,4,0,7,18,31759,10373,23654,0,83534,0.5762798634812286,1.175519117592627
42,64311,682,1,3,23260,72,2029,0.192,0.379,0,2,0,12,8,41445,3205,44783,1,294164,0.3616743376041796,1.7817376724990328
35,63275,847,0,3,92203,36,2776,0.247,0.526,0,3,0,47,11,6674,4047,141888,0,17362,1.4571559517036474,0.0723829768773589
50,57889,695,0,3,108328,36,2034,0.073,0.422,0,0,0,3,30,32622,56,53973,20,169068,1.871273104163068,0.3011381993741288
42,77669,619,0,0,36462,12,1380,0.131,0.213,0,3,0,11,9,9183,10464,54571,11,228970,0.469447663190421,0.2518443353536461
39,40602,734,2,1,18604,72,1399,0.09,0.413,0,0,1,31,12,34556,1543,15524,16,55820,0.4581927443784942,1.8573501746842247
72,31678,755,2,3,39217,120,393,0.34,0.149,1,1,0,37,50,865,3999,53262,24,-16885,1.2379494302219136,0.0220561986842776
53,40863,699,0,4,21856,36,1866,0.112,0.548,0,3,0,26,17,19201,8591,35823,14,119269,0.5348472983555208,0.8784828659010844
30,37468,744,1,1,49365,120,996,0.135,0.319,0,1,0,35,6,33169,10116,91847,5,51653,1.31748912434279,0.671899688044403
72,70571,789,0,0,39808,84,1756,0.31,0.299,0,1,0,11,49,50419,9355,39639,22,179015,0.5640764042396418,1.266522645632897
29,155423,592,0,2,197312,12,2565,0.19,0.198,0,3,1,25,7,29427,35333,305026,6,-138,1.2695079267037266,0.1491386781408219
45,25014,587,2,3,43038,12,203,0.327,0.097,0,0,0,47,15,13945,6069,61517,22,19870,1.7204877073755749,0.3240084574455726
20,89893,729,0,4,173144,60,2030,0.17,0.271,0,0,1,13,1,72003,14291,242991,0,123716,1.9260907290809173,0.4158537641860868
61,53806,722,1,1,39181,12,312,0.531,0.07,0,2,0,11,23,48012,11714,30739,8,218702,0.7281766312933261,1.2253585830228166
27,38275,697,1,3,43995,48,1013,0.302,0.318,0,4,1,1,3,6216,10607,50436,6,-1753,1.1494147768836869,0.1412855714155832
26,66029,634,0,3,24475,36,1745,0.524,0.317,0,0,1,48,7,8767,3343,46669,7,213551,0.3706648493109192,0.3581876123549599
34,21657,589,0,1,20948,24,781,0.679,0.433,0,3,0,23,12,10141,2740,20490,12,74771,0.9672176562932866,0.4840803856986013
56,50952,722,0,1,60973,12,615,0.597,0.145,0,4,0,24,26,10927,11289,120168,10,-38193,1.196651816379801,0.1792075310788204
28,75708,638,0,1,128425,24,2223,0.106,0.352,0,3,0,32,8,35955,18700,202508,7,82470,1.69629766606348,0.2799666734150405
44,50788,528,0,4,35709,60,1061,0.341,0.251,0,0,0,41,12,20329,11145,31621,8,233664,0.7030853137490402,0.5692803136376365
56,72561,753,0,0,11662,12,1896,0.37,0.314,0,3,0,8,20,16596,12162,13318,13,358221,0.160717731043797,1.4229615021864015
53,25244,600,0,0,32033,120,1036,0.48,0.492,0,4,0,30,19,7582,1173,44225,9,71290,1.268884927708457,0.2366860211025785
58,60670,751,0,4,65705,24,2391,0.052,0.473,0,1,0,24,35,49732,10070,22284,1,103081,1.0829720953997792,0.7568867378930387
33,40967,638,0,3,51630,120,316,0.187,0.093,0,3,0,7,13,19504,6902,52332,11,34724,1.2602519039250146,0.3777575487594662
55,32057,568,0,3,19868,48,1253,0.211,0.469,0,3,0,2,29,12540,6239,36091,9,73475,0.6197517000436709,0.6311339272233127
69,95187,652,1,4,79813,72,2057,0.486,0.259,0,3,0,43,46,47014,7490,32093,1,212137,0.8384775391856116,0.5890445285288295
22,41715,668,1,1,22871,12,1795,0.607,0.516,0,1,0,8,3,28980,12256,17287,0,76094,0.5482548662383737,1.2670514165792237
42,48933,667,2,3,9899,12,339,0.233,0.083,0,1,0,34,12,17964,6469,18238,10,200175,0.2022928842931295,1.8145454545454545
39,45684,744,1,0,97426,24,1120,0.222,0.294,0,2,0,7,14,21594,3764,159492,11,-94565,2.1325599211995185,0.2216428710727006
54,147650,526,0,2,228474,60,3314,0.167,0.269,0,0,0,15,18,94471,11009,259875,9,563046,1.5473921612450985,0.4134850640113798
73,60142,566,0,1,69875,60,2032,0.079,0.405,0,3,0,16,53,14745,8361,115425,10,117121,1.161814342483747,0.2110166580800274
66,69516,611,0,1,87786,12,2883,0.091,0.498,0,4,0,17,43,20777,6305,93382,2,-5018,1.2627990275759886,0.2366751341314773
45,42043,641,0,2,4491,12,938,0.491,0.268,0,0,0,25,17,3481,9364,3782,15,44248,0.1068166682523071,0.77493321460374
55,105458,545,0,4,159519,84,4118,0.486,0.469,0,2,0,7,11,58228,9982,129764,12,42419,1.5126162774158678,0.3650200601805416
