feature,psi,ks_statistic,ks_p_value,severity
CreditScore,1.7776,0.3669,0.0,SEVERE
DebtToIncomeRatio,0.8469,0.4223,0.0,SEVERE
CreditCardUtilizationRate,0.4618,0.2738,0.0,SEVERE
NetWorth,0.0051,0.0164,0.349087,STABLE
LoanAmount,0.005,0.0243,0.044765,STABLE
JobTenure,0.0047,0.0195,0.173056,STABLE
SavingsAccountBalance,0.0039,0.0284,0.011087,STABLE
TotalLiabilities,0.0038,0.0242,0.045645,STABLE
LoanPurpose,0.0034,0.0199,0.157436,STABLE
LoanDuration,0.0031,0.0187,0.207941,STABLE
CheckingAccountBalance,0.0031,0.0126,0.682614,STABLE
SavingsToLoanRatio,0.0024,0.0123,0.7122,STABLE
LengthOfCreditHistory,0.0021,0.0192,0.184133,STABLE
MonthlyDebtPayments,0.0021,0.016,0.381738,STABLE
Age,0.0017,0.0185,0.2207,STABLE
AnnualIncome,0.0017,0.0145,0.506942,STABLE
PaymentHistory,0.0014,0.0149,0.473886,STABLE
LoanToIncomeRatio,0.0013,0.0183,0.230654,STABLE
EducationLevel,0.0002,0.0056,0.99995,STABLE
EmploymentStatus,0.0,0.0067,0.998649,STABLE
PreviousLoanDefaults,0.0,0.0092,0.944707,STABLE
BankruptcyHistory,0.0,0.0042,1.0,STABLE
